cell_id,i_n,i_log_eta,i_log_sy,i_W,i_H,n_lo,n_hi,log_eta_lo,log_eta_hi,log_sy_lo,log_sy_hi,W_lo,W_hi,H_lo,H_hi,current_n,target_n,deficit,est_particles,est_cost,machine_id
10,2,2,0,0,0,0.6500000005,0.82500000075,2.6867968848946537,4.195289680275427,-5.6623075877008215,-2.7488645537486205,2.0,3.25000000025,2.0,3.25000000025,100,150,50,162078.90417898312,8103945.208949156,0
12,0,3,0,0,0,0.3,0.47500000025,4.195289680275427,5.703782475656201,-5.6623075877008215,-2.7488645537486205,2.0,3.25000000025,2.0,3.25000000025,100,150,50,162078.90417898312,8103945.208949156,0
13,1,3,0,0,0,0.47500000025,0.6500000005,4.195289680275427,5.703782475656201,-5.6623075877008215,-2.7488645537486205,2.0,3.25000000025,2.0,3.25000000025,100,150,50,162078.90417898312,8103945.208949156,0
18,2,0,1,0,0,0.6500000005,0.82500000075,-0.3301887058668941,1.1783040895138797,-2.7488645537486205,0.16457848020358057,2.0,3.25000000025,2.0,3.25000000025,100,150,50,162078.90417898312,8103945.208949156,0
19,3,0,1,0,0,0.82500000075,1.000000001,-0.3301887058668941,1.1783040895138797,-2.7488645537486205,0.16457848020358057,2.0,3.25000000025,2.0,3.25000000025,100,150,50,162078.90417898312,8103945.208949156,0
21,1,1,1,0,0,0.47500000025,0.6500000005,1.1783040895138797,2.6867968848946537,-2.7488645537486205,0.16457848020358057,2.0,3.25000000025,2.0,3.25000000025,100,150,50,162078.90417898312,8103945.208949156,0
24,0,2,1,0,0,0.3,0.47500000025,2.6867968848946537,4.195289680275427,-2.7488645537486205,0.16457848020358057,2.0,3.25000000025,2.0,3.25000000025,100,150,50,162078.90417898312,8103945.208949156,0
26,2,2,1,0,0,0.6500000005,0.82500000075,2.6867968848946537,4.195289680275427,-2.7488645537486205,0.16457848020358057,2.0,3.25000000025,2.0,3.25000000025,100,150,50,162078.90417898312,8103945.208949156,0
28,0,3,1,0,0,0.3,0.47500000025,4.195289680275427,5.703782475656201,-2.7488645537486205,0.16457848020358057,2.0,3.25000000025,2.0,3.25000000025,100,150,50,162078.90417898312,8103945.208949156,0
29,1,3,1,0,0,0.47500000025,0.6500000005,4.195289680275427,5.703782475656201,-2.7488645537486205,0.16457848020358057,2.0,3.25000000025,2.0,3.25000000025,100,150,50,162078.90417898312,8103945.208949156,0
