n,eta,sigma_y,width,height,x_01,x_02,x_03,x_04,x_05,x_06,x_07,x_08,gid,basin_k,sub_id
0.53403034,205.24198874,325.31027924,4.7,4.5,0.39213514,0.7043624,0.93062115,1.1245565,1.2926469,1.4397287,1.5694752,1.6861014,12,3,17
0.75881145,74.38200392,259.97594484,4.7,5.0,0.52207375,1.2256432,1.8082447,2.2303853,2.5320907,2.7609696,2.9433613,3.0952778,12,7,42
0.77194075,196.52312585,115.04854093,4.6,4.0,0.3660078,0.63321257,0.887918,1.1220984,1.3367591,1.5327468,1.711348,1.8744946,12,3,15
0.87316746,87.02023315,219.34649658,4.13422871,4.41867638,0.43937445,0.8999958,1.28111553,1.60094547,1.86805391,2.09220219,2.28250647,2.44717026,12,7,46
0.47993849,41.189889,314.46951777,4.2,4.2,0.6826973,1.9812331,3.1211967,3.7794366,3.9661508,3.9821658,3.9850764,3.9880252,12,4,25
0.80764555,221.66946432,48.25493366,4.55262133,4.25101541,0.35643005,0.58283329,0.81656647,1.03236437,1.23459911,1.42137909,1.59399033,1.75425863,12,3,15
0.93267395,290.9847699,377.67602033,4.1,4.3,0.24397802,0.2657013,0.35101795,0.40182495,0.47765493,0.5473318,0.6111851,0.67358255,12,1,-1
0.81470603,44.48754501,8.47602844,4.1238575,4.58365631,0.7250371,2.02714682,3.07344818,3.72790337,4.13645077,4.41230011,4.62286854,4.78897095,12,0,4
0.57666892,53.02859895,158.45644243,4.0,4.3,0.7079787,2.0085082,3.0822778,3.6844797,3.963684,4.1110888,4.208355,4.286662,12,0,6
0.9612574,108.64557648,201.66749573,4.2581954,4.23934174,0.37893677,0.6753602,0.94905043,1.19835377,1.42294168,1.62476015,1.80558681,1.96786451,12,3,18
0.63739863,228.14621959,105.15981081,4.1,5.0,0.38907242,0.6864896,0.9422426,1.1755166,1.3840375,1.571445,1.7392864,1.8913274,12,3,15
0.58225989,81.4966507,380.91171265,4.02541447,4.74347305,0.49950171,1.20531845,1.77588129,2.13637447,2.33961058,2.46663475,2.56032801,2.63641596,12,7,42
0.73892381,193.10262719,337.33534138,4.0,4.5,0.31039333,0.4479246,0.5820184,0.70414305,0.8217993,0.9299207,1.0304508,1.1240315,12,3,17
0.5012285,291.46409264,271.16042031,4.6,4.5,0.35459614,0.56147575,0.72083426,0.8718195,1.0092387,1.1347299,1.2497158,1.3555827,12,3,21
0.68459476,158.10773708,373.48510322,4.9,4.0,0.36310625,0.6320467,0.84477186,1.0374923,1.2094426,1.3627877,1.499939,1.6236639,12,3,17
1.0,33.23846436,400.0,4.14449358,4.3323307,0.46644163,1.01963615,1.45700264,1.77609396,2.00421906,2.17345953,2.30319357,2.40728283,12,7,42
0.79950535,22.61518542,373.13521051,4.4,4.0,0.595232,1.6038332,2.4497495,2.9445024,3.1459384,3.2092495,3.2361135,3.256678,12,4,23
0.41152735,283.67125963,230.08902586,4.9,4.9,0.42392397,0.8302016,1.1267514,1.3603401,1.5524802,1.7169738,1.859169,1.984158,12,7,43
0.97807116,17.61082815,272.53422078,4.5,5.0,0.6506643,1.7725897,2.7171783,3.3154335,3.657443,3.8703375,4.0139904,4.119028,12,0,6
0.80658734,45.09013748,373.20855713,4.89021921,4.77767038,0.53240919,1.3011446,1.94305992,2.3781786,2.65119219,2.83081245,2.96009874,3.06138468,12,7,42
0.80488878,176.99019434,22.36300582,4.9,4.5,0.42357302,0.8032217,1.1502838,1.4656682,1.7481894,2.0014944,2.2279344,2.4311075,12,3,18
0.45429478,16.25521387,31.73758129,4.3,4.6,1.220128,3.958119,6.6269355,8.61521,9.636154,9.941385,10.090525,10.233955,12,5,29
0.3281802,186.33612512,61.70129166,4.8,4.0,0.65919113,1.9343667,3.0619583,3.7445636,4.037232,4.1661954,4.2543006,4.3301387,12,0,1
0.98647399,138.02715344,55.06334968,4.4,4.8,0.39561462,0.69628525,0.9953718,1.2702827,1.522419,1.7528081,1.9628239,2.1541605,12,3,16
0.7887162,80.31698505,324.94597311,4.1009864,4.54095954,0.44494438,0.93693447,1.326015,1.62898016,1.86720037,2.05896807,2.21681738,2.34936047,12,7,42
0.92729809,114.25733782,108.82061046,4.85834915,4.06777539,0.4102869,0.76954174,1.09192944,1.38218641,1.63930511,1.86713934,2.06849766,2.24786806,12,3,18
0.36871145,260.70969897,24.07386007,4.6,5.0,0.5549178,1.3864784,2.079018,2.5303798,2.8116465,3.010685,3.1713305,3.3080292,12,7,46
0.49925848,297.44709825,170.96042664,4.9,5.0,0.39975977,0.7148838,0.9639802,1.1888232,1.3879151,1.566546,1.7264647,1.8717237,12,3,19
0.75890595,19.60284615,46.31206131,4.62676716,4.05659008,0.92933941,2.79038286,4.31451082,5.22186613,5.69574404,5.97789812,6.16851664,6.31088877,12,0,5
0.59181911,142.29930115,372.12738037,4.84669256,4.25285912,0.4059329,0.74783754,0.98815632,1.17886925,1.33659983,1.47027349,1.58514071,1.68589163,12,7,42
0.60704464,201.58812231,347.1627611,4.83439625,4.91745365,0.38092136,0.6494174,0.85630274,1.04583263,1.21424627,1.36507607,1.50110483,1.6238904,12,3,17
0.68939918,184.92524992,158.12066973,4.2,4.2,0.38502264,0.69574785,0.9596729,1.1963191,1.4058208,1.5920143,1.7571149,1.9051123,12,3,19
0.73303871,194.70186891,223.49739359,4.60749965,4.2863139,0.35767746,0.58370829,0.78953886,0.98086596,1.15602541,1.31596756,1.46186304,1.59597063,12,3,15
0.36405766,166.60286265,118.96867754,4.41116983,4.85212465,0.63573933,1.82132053,2.87176561,3.52002144,3.8184495,3.96258688,4.06160879,4.14649343,12,0,1
0.48939696,176.72050319,193.86397619,4.7,5.0,0.50269127,1.1541405,1.6828203,2.0529656,2.312605,2.5098705,2.671126,2.8064113,12,7,43
0.98799813,13.34710217,10.28801441,4.65223026,4.66230297,0.90222979,2.70294571,4.1523881,5.04184675,5.55857801,5.90166712,6.13677168,6.30571508,12,0,0
0.94773605,127.62161427,360.90112158,4.8,4.7,0.3547449,0.55622673,0.7544737,0.943203,1.1163578,1.275084,1.4214997,1.556849,12,3,17
0.82759349,241.80097377,396.50365853,4.9,4.9,0.3116951,0.38493252,0.5000138,0.61232424,0.723969,0.82189846,0.91900873,1.0126743,12,1,-1
0.4722956,126.86648297,213.75896391,4.4,5.0,0.56905746,1.4476805,2.1802902,2.6325445,2.8803144,3.035262,3.1546574,3.2577982,12,0,1
0.64220851,105.42147559,348.33544352,4.9,4.0,0.4512205,0.9919324,1.417768,1.732193,1.9660301,2.147128,2.2943492,2.417591,12,7,42
0.96258137,116.95246144,85.92152866,4.5,4.3,0.40993595,0.7670274,1.0980797,1.3973575,1.6658039,1.9060893,2.1202216,2.3120518,12,3,16
0.94269837,185.66614552,134.4408044,4.2,4.5,0.33288383,0.51149654,0.71672964,0.90423155,1.0851927,1.2535114,1.4111023,1.5587225,12,3,16
0.88778551,126.97516797,372.47183123,4.40698795,4.95910829,0.36145449,0.59623957,0.80987453,1.01114416,1.19375038,1.36003447,1.51168203,1.65063477,12,3,17
0.77443652,55.55541521,38.86307211,4.2,4.7,0.6752777,1.8002872,2.7039394,3.284916,3.6630864,3.9345365,4.1439815,4.314133,12,0,4
0.86789393,89.283937,60.46039157,4.5,4.6,0.5102644,1.1358356,1.6569057,2.0792594,2.420937,2.7025537,2.9395523,3.148251,12,7,41
0.99163747,23.75150299,43.3127594,4.7998867,4.67746449,0.74761772,2.10021448,3.18826628,3.89502764,4.3491559,4.6641984,4.89283037,5.07149649,12,0,4
0.50225096,15.04442101,81.47421705,4.5,4.5,1.11986923,3.63680553,6.08855057,7.91934109,8.83107948,9.1087389,9.21575546,9.28038979,12,5,29
0.8958335,203.99005943,31.63324068,4.4,4.8,0.3651824,0.5915661,0.83760643,1.0652728,1.279767,1.4784231,1.6634812,1.835752,12,3,16
0.30256114,132.70564702,14.68510473,4.6,4.5,0.85314846,2.6916857,4.381675,5.499014,5.9706383,6.12599,6.1944733,6.2404947,12,0,7
0.4934617,206.77587318,371.61264552,4.4,4.1,0.36734247,0.6299486,0.80253077,0.949769,1.0777168,1.190197,1.2895269,1.378303,12,7,45
0.64071183,275.18320687,232.5342014,4.55415926,5.01890879,0.34893274,0.53782463,0.71974134,0.89494705,1.05640936,1.2062993,1.3456707,1.47617865,12,3,21
0.796032,191.00860926,143.77102809,4.7,4.8,0.3825531,0.65041065,0.90659,1.1448641,1.3625531,1.5615959,1.7439103,1.9108019,12,3,15
0.49747003,224.24232607,347.38516971,4.4,4.6,0.3737955,0.62951183,0.802104,0.9535613,1.0864024,1.2042193,1.3095021,1.4044919,12,3,17
0.69297636,167.8820759,118.06141815,4.02716914,4.53526104,0.42080021,0.8337822,1.17703199,1.47416782,1.72915363,1.94952726,2.14092445,2.30941486,12,3,19
0.87008478,81.37057811,134.14928721,4.6,4.5,0.501318,1.1171598,1.6294055,2.041277,2.3708892,2.6417599,2.8671274,3.0612073,12,7,41
0.30039519,84.91005482,33.44723161,4.64477632,4.60881287,0.98120832,3.17312479,5.25613546,6.74912024,7.42960787,7.63846922,7.71792555,7.76026106,12,5,35
0.99654984,251.54223633,24.65074158,4.10701084,4.17932129,0.29366112,0.41287518,0.5878458,0.7416873,0.89764071,1.04740286,1.18810081,1.32305098,12,3,20
0.43768507,98.57957882,364.93578914,4.25113328,4.33901103,0.53154469,1.32227278,1.9539094,2.30420256,2.44637918,2.51141405,2.56136751,2.60488129,12,4,24
0.45818541,150.61228963,265.19152931,4.4,4.4,0.498806,1.1567187,1.67524,2.003622,2.205833,2.3486228,2.462669,2.5582542,12,7,45
0.77463356,21.32615072,329.74616562,4.6,4.3,0.65876436,1.8814073,2.950069,3.5992255,3.8778105,3.9734325,4.006181,4.025731,12,4,23
