gid,sub_id,basin_k,s_local,N,mu_z,cov_z,pi,fallback_only,vbgmm_method,dt_s
2,0,0,0,84,"[0.8982670909548381, 4.979377549016005, 5.879526980332933]","[[0.005709057629511873, -0.0076834263205591315, 0.0011795038746842922], [-0.0076834263205591315, 0.06192182948568186, -0.007167629577046051], [0.0011795038746842924, -0.0071676295770460524, 0.008279750326856558]]",0.08840047637457321,False,vbgmm,5.324460029602051
2,1,0,1,48,"[0.609284484196804, 5.4862041865382825, 5.524698794901382]","[[0.012392841745138957, -0.006930737274127364, 0.004127479983455696], [-0.006930737274127364, 0.013308088307309278, -0.005718269616124985], [0.004127479983455695, -0.005718269616124985, 0.014126016546399932]]",0.0669227044598458,False,vbgmm,4.090205907821655
2,2,0,2,232,"[0.6286257019183125, 5.394383202486605, 5.787655891845677]","[[0.018647103887968988, -0.00419219053296055, -3.2030456241997744e-05], [-0.004192190532960549, 0.019727942367115364, 0.003234391713324001], [-3.203045624199804e-05, 0.0032343917133240015, 0.011146744074707466]]",0.23211724317214724,False,vbgmm,5.122888565063477
2,3,0,3,147,"[0.8988120075747927, 5.4253751375181825, 5.661288471400924]","[[0.004743991133739137, -0.0012240718165575214, 0.0002043206133465634], [-0.0012240718165575214, 0.021147736373535734, -0.003148734128210151], [0.00020432061334656345, -0.0031487341282101537, 0.02233293451754507]]",0.1466561887029329,False,vbgmm,4.636706829071045
2,4,0,4,154,"[0.6043651131354082, 5.141072069435781, 5.9090433893544185]","[[0.02399336627372812, -0.01546203151577917, -0.0019693716683925897], [-0.01546203151577917, 0.052579494605193906, -0.002567645102438451], [-0.0019693716683925892, -0.002567645102438451, 0.003911988810227295]]",0.17588447005663974,False,vbgmm,4.541306257247925
2,5,0,5,203,"[0.6855596343092052, 5.620953553470334, 5.532543174386442]","[[0.02933759335412124, -0.00025382076635556487, -0.008835073410293244], [-0.0002538207663555648, 0.003876476538175145, -0.0013119285553880404], [-0.008835073410293244, -0.0013119285553880404, 0.05911276184960534]]",0.20031851672539833,False,vbgmm,4.966651201248169
2,6,0,6,109,"[0.4130591232807577, 5.573556672292219, 5.737203268088006]","[[0.00580459315187008, -0.0023769195680930495, -0.0003218590849068828], [-0.00237691956809305, 0.006627851256107909, 0.0005837046921465358], [-0.00032185908490688276, 0.0005837046921465358, 0.017142516415203965]]",0.08970040050846273,False,vbgmm,4.218439340591431
2,7,1,0,305,"[0.34845381616527266, 4.456898157379214, 5.4836944599889]","[[0.0025938591294308966, -0.012924444459238725, -0.0038550703172902314], [-0.012924444459238727, 0.13742863858483467, 0.00593810545006953], [-0.0038550703172902314, 0.005938105450069524, 0.12022099569474147]]",0.16392452284823614,False,vbgmm,6.05870509147644
2,8,1,1,177,"[0.728983245156235, 2.192570830704817, 3.62648148885837]","[[0.018515070230795745, -0.03381854152160761, -0.0023638688766192246], [-0.03381854152160761, 0.2853740637659448, 0.0397223892200639], [-0.0023638688766192254, 0.039722389220063894, 0.3307839997582411]]",0.1054463476483802,False,vbgmm,4.738708019256592
2,9,1,2,328,"[0.656878455833085, 3.167117885357372, 5.4754330294945]","[[0.029138933923764095, -0.08720298679540424, 0.0036693940668521864], [-0.08720298679540424, 0.357447899806853, 0.037879425322324134], [0.003669394066852187, 0.03787942532232413, 0.12428098025632861]]",0.18995626210095584,False,vbgmm,6.614500999450684
2,10,1,3,157,"[0.6006639375836711, 2.8111174739395155, 1.5937127365129948]","[[0.020005191513104228, -0.061120002926091835, -0.01612011426130403], [-0.061120002926091835, 0.43908428684374173, 0.21399223582558455], [-0.016120114261304025, 0.21399223582558452, 2.5327165920816874]]",0.1090257178980459,False,vbgmm,4.693181276321411
2,11,1,4,198,"[0.3630229737263922, 3.47390960610809, 3.48921570387578]","[[0.0026573594772827556, -0.005087368048991933, 0.0018850823552135042], [-0.005087368048991934, 0.7143347266355576, -0.639910112314938], [0.001885082355213504, -0.6399101123149379, 1.2954359539786118]]",0.10697651779165779,False,vbgmm,5.029205799102783
