gid,sub_id,basin_k,s_local,N,mu_z,cov_z,pi,fallback_only,vbgmm_method,dt_s
0,0,0,0,322,"[0.6783462390882046, 4.636615461280204, 5.120544451553862]","[[0.026069659095857855, -0.06120106640079906, 0.007353149508895068], [-0.06120106640079906, 0.16149285060711824, -0.041235207977345895], [0.007353149508895067, -0.04123520797734589, 0.17757187893798826]]",0.20564885090217866,False,vbgmm,7.4742350578308105
0,1,0,1,318,"[0.47623460266910383, 5.167147175391144, 5.631450497913137]","[[0.006483818810742605, -0.012561540741910592, 0.002000551805336718], [-0.012561540741910592, 0.057974778064604174, -0.0077600865216649806], [0.0020005518053367185, -0.007760086521664978, 0.04709217532923632]]",0.17932443885347338,False,vbgmm,5.993266582489014
0,2,0,2,175,"[0.40270081015100895, 5.439744276892009, 4.4346079443695015]","[[0.004822617598959086, -0.010798385153084592, 0.00817490019942313], [-0.010798385153084592, 0.03180845042770407, -0.029381590773703198], [0.00817490019942313, -0.029381590773703194, 0.3145161651861361]]",0.10346052818666984,False,vbgmm,4.522412300109863
0,3,0,3,375,"[0.7451757394987572, 4.5251280782738865, 5.785515060667051]","[[0.020728363675979838, -0.04111919868743428, 0.0019813523732496474], [-0.04111919868743428, 0.11999815318632487, 0.0018630494708881476], [0.001981352373249648, 0.0018630494708881474, 0.027407673310164322]]",0.19931834725935632,False,vbgmm,6.680708885192871
0,4,0,4,312,"[0.670276101719605, 4.770849057474042, 3.850637677665117]","[[0.030322942375763873, -0.07563176875617775, 0.06725647675764033], [-0.07563176875617775, 0.2040693772666513, -0.1907077438103461], [0.06725647675764033, -0.1907077438103461, 0.6278014133879309]]",0.1421193233568552,False,vbgmm,6.087918758392334
0,5,0,5,350,"[0.35443250811484983, 5.489219388408181, 5.318167393153813]","[[0.0021367928006374107, -0.0027811577017918063, 0.0019718993104769155], [-0.002781157701791806, 0.020262416724329144, -0.014594605879657897], [0.001971899310476916, -0.014594605879657899, 0.0958108919464548]]",0.17012851144146673,False,vbgmm,6.925626993179321
0,6,3,0,107,"[0.5966856681875425, 5.446570241359884, 5.760381103745066]","[[0.016143926107303263, -0.001624019357863017, 0.002015321328910765], [-0.0016240193578630165, 0.008756117064739792, -0.002079205807297472], [0.0020153213289107645, -0.002079205807297472, 0.006825688408368919]]",0.12086638216520874,False,vbgmm,4.626945734024048
0,7,3,1,127,"[0.8993271010457807, 5.5187406633155724, 5.804591514162193]","[[0.005681934885611844, 0.0013011623986090627, 0.0002603941721488659], [0.0013011623986090627, 0.009795053714944197, 0.0010522193883111864], [0.00026039417214886564, 0.0010522193883111875, 0.01026809861151751]]",0.10957321732805224,False,vbgmm,5.129363536834717
0,8,3,2,195,"[0.4754685691416366, 5.631672663344141, 5.653874521312007]","[[0.0116420939091156, -3.532600011038914e-06, -0.003643092696007685], [-3.5326000110389157e-06, 0.003469723667050156, -0.0028984284738870483], [-0.0036430926960076848, -0.0028984284738870483, 0.03080668632203896]]",0.18210454173914142,False,vbgmm,5.450182199478149
0,9,3,3,66,"[0.6739085988223265, 5.325176570281475, 5.6684907135956655]","[[0.0059902583148004635, -0.002042065288126712, 0.001548166987597859], [-0.002042065288126712, 0.02421924599728078, -0.012048777680990292], [0.0015481669875978593, -0.012048777680990294, 0.012142104030400022]]",0.0677640611445676,False,vbgmm,4.354682207107544
0,10,3,4,273,"[0.6640320951918582, 5.259700360969534, 5.9267215412495755]","[[0.022744661481342174, -0.010850587608314149, 0.0012470288558142871], [-0.010850587608314149, 0.050563170882298454, -0.0009876717159868506], [0.0012470288558142873, -0.0009876717159868506, 0.0020477451296308513]]",0.22301345307486284,False,vbgmm,5.840186595916748
0,11,3,5,110,"[0.9077412880340687, 5.278901131279565, 5.836788253832451]","[[0.005059830442029849, -0.003722700835181641, 0.0010850344093301986], [-0.003722700835181641, 0.02151412436334327, -0.0029506775895491847], [0.0010850344093301988, -0.0029506775895491847, 0.0070863186198815075]]",0.10475881922787786,False,vbgmm,4.1228392124176025
0,12,3,6,212,"[0.7822364258413061, 5.621578151388928, 5.6827127739387535]","[[0.01582542767867004, 0.0007166409296752656, -0.008026856837019121], [0.0007166409296752656, 0.004101389789140772, -0.001768418515495087], [-0.008026856837019121, -0.001768418515495087, 0.020078174763110943]]",0.1919195253202893,False,vbgmm,5.174127101898193
0,13,4,0,40,"[0.5596572919804292, 4.1457871368202985, 5.6833943978470245]","[[0.008710145415816205, -0.0205804872568333, -0.000244184864329582], [-0.020580487256833296, 0.06620406474835343, -0.0007144717648591365], [-0.0002441848643295819, -0.0007144717648591365, 0.004975345554454027]]",0.10082714108838672,False,vbgmm,3.8728222846984863
0,14,4,1,114,"[0.6965996209799362, 3.829543171431536, 5.910644948760687]","[[0.027758930398760134, -0.05864672558646116, -0.00038634457821492196], [-0.058646725586461175, 0.16767830385029575, -0.0014277509177970992], [-0.00038634457821492196, -0.001427750917797099, 0.004106905965065202]]",0.21299650416471955,False,vbgmm,4.247788429260254
0,15,4,2,199,"[0.33632648090908057, 5.00209445458031, 5.7194170212405115]","[[0.0015227179270323942, -0.004790003980419415, 0.0003202022283636724], [-0.004790003980419415, 0.06729062246576192, 0.0024289818549447584], [0.0003202022283636724, 0.002428981854944759, 0.026209566809700154]]",0.44851299988169313,False,vbgmm,4.953548431396484
0,16,4,3,116,"[0.4033453160865532, 4.593936315480233, 5.916587196340176]","[[0.0071911185964291255, -0.0063634020770833195, -0.0018280745035869283], [-0.0063634020770833195, 0.040373976040085684, -0.00018316671191183958], [-0.0018280745035869285, -0.00018316671191183953, 0.004036696134763173]]",0.2376633548652007,False,vbgmm,4.042700529098511
0,17,5,0,451,"[0.7251168296893417, 5.434127910674431, 4.182217346101498]","[[0.021207195089419918, -0.00876047996406695, 0.024587667309494878], [-0.008760479964066951, 0.021458537840571196, -0.05665814905277173], [0.024587667309494878, -0.05665814905277173, 0.48461900006561726]]",0.13369513833333377,False,vbgmm,9.329578399658203
0,18,5,1,541,"[0.7802358835572442, 5.317552453893078, 5.468912856554726]","[[0.014091366445279273, -0.0039001221048636484, 0.0032963854877893074], [-0.003900122104863648, 0.04072154346309073, -0.02290227499019618], [0.0032963854877893074, -0.022902274990196182, 0.05333218629182873]]",0.17833385649404518,False,vbgmm,11.418933391571045
0,19,5,2,649,"[0.70993973314575, 5.602408584625573, 4.855124641290104]","[[0.026624966211729044, -0.0003296164558628882, -0.011937124709948128], [-0.0003296164558628883, 0.0050357504048828385, -0.007390854154645967], [-0.011937124709948127, -0.007390854154645967, 0.20908561704379436]]",0.16467657617380588,False,vbgmm,17.581342458724976
0,20,5,3,266,"[0.7536201004598452, 5.003100465355545, 3.7348176544578986]","[[0.018387681749219904, -0.037686313924341096, 0.062263773393898054], [-0.037686313924341096, 0.10211840960248435, -0.1555360952043855], [0.062263773393898054, -0.1555360952043855, 1.2552414441824846]]",0.08745060974490197,False,vbgmm,5.560017108917236
0,21,5,4,706,"[0.6969238406144649, 5.065123703623355, 5.1698867060179685]","[[0.017205999588402066, -0.034746586189963936, 0.01471229255331954], [-0.034746586189963936, 0.09488647980566246, -0.039617486264365655], [0.014712292553319536, -0.039617486264365655, 0.16647962644794584]]",0.20829673089811435,False,vbgmm,21.255642414093018
0,22,5,5,668,"[0.9529432982497733, 5.0435092784394735, 5.213354697340357]","[[0.0015532932226868567, -4.872987723908405e-05, 0.0013039614824839224], [-4.8729877239084e-05, 0.14312510568482023, -0.05780516650412257], [0.0013039614824839224, -0.05780516650412257, 0.19317864224312117]]",0.16507375441411873,False,vbgmm,18.07714033126831
0,23,5,6,209,"[0.9013904165689984, 5.101706090519271, 3.1641015027237778]","[[0.003955188831371459, -0.006484790526097294, -0.0010293363823940254], [-0.006484790526097294, 0.07742173051689823, -0.0808960956472916], [-0.0010293363823940251, -0.0808960956472916, 2.0797627594154484]]",0.062473333941680274,False,vbgmm,4.956894874572754
0,24,7,0,38,"[0.9381637233256432, 5.339432766454695, 5.953115110919096]","[[0.00739004061559027, -0.004398862580167416, 0.0011659365776435868], [-0.004398862580167417, 0.03186775552145708, -0.004627254054114278], [0.0011659365776435868, -0.004627254054114278, 0.0020145995380323935]]",0.14392527160096327,False,vbgmm,3.7106411457061768
0,25,7,1,41,"[0.6943457937612432, 5.644351099890471, 5.9322311233005625]","[[0.005536713683124464, 0.0006192276539184277, 0.00131041006344948], [0.0006192276539184277, 0.0039508183778508435, 6.755675077759752e-05], [0.0013104100634494797, 6.755675077759748e-05, 0.0032231294148020342]]",0.11887459092147311,False,vbgmm,3.8260886669158936
0,26,7,2,76,"[0.5040964831523673, 5.364252205213057, 5.95249394379732]","[[0.02296237315879421, 0.0012364495973185435, 0.0008493375036950228], [0.001236449597318545, 0.02184875003263315, -0.0016831513808235276], [0.0008493375036950226, -0.0016831513808235274, 0.0013847754443271508]]",0.25398635742698594,False,vbgmm,4.0493550300598145
0,27,7,3,64,"[0.3956548518730872, 5.6384334241846945, 5.825905238329327]","[[0.009818262394082634, -0.0001331676738041762, 0.0012009780151166491], [-0.00013316767380417623, 0.003719766983349299, -0.00042863237208181883], [0.0012009780151166487, -0.0004286323720818188, 0.010040971776823041]]",0.20359755534935134,False,vbgmm,3.7378342151641846
0,28,7,4,35,"[0.8471371683237878, 5.6316200228530295, 5.789602881517309]","[[0.01877259874089339, 0.0004294681876280426, -0.002474210588198534], [0.00042946818762804246, 0.004757898971550284, -0.0038389663080864735], [-0.0024742105881985334, -0.0038389663080864735, 0.011083125277489026]]",0.13911636773729466,False,vbgmm,3.8890867233276367
0,29,7,5,46,"[0.9560364815211255, 5.634057812668696, 5.976151094761191]","[[0.006600993024936992, 0.0026104298037287746, 0.0012180989086214191], [0.0026104298037287746, 0.0073000250704512775, 0.0002542114056240737], [0.0012180989086214191, 0.0002542114056240738, 0.0007514326817139349]]",0.14049985696393164,False,vbgmm,3.7897112369537354
12,0,0,0,195,"[0.8775633201334854, 3.0152478730225787, 1.2672111094959329]","[[0.0063644690421082025, -0.01795110742401534, -0.0004917656298318463], [-0.01795110742401534, 0.17267996205687472, -0.037318736644164324], [-0.0004917656298318463, -0.03731873664416433, 2.5653552169390132]]",0.08462807024830316,False,vbgmm,5.005706310272217
12,1,0,1,369,"[0.4375052338722193, 4.925139432843639, 4.7363117300420114]","[[0.00778358641977289, -0.027748389634942937, 0.010974160375818841], [-0.02774838963494294, 0.11838255469672429, -0.061999709169038214], [0.01097416037581884, -0.06199970916903821, 0.27590410443421953]]",0.13114621923360936,False,vbgmm,7.289305686950684
12,2,0,2,261,"[0.47126728254353256, 4.603018959251878, 0.30395860426870747]","[[0.011425648758759512, -0.04367486440172222, -0.009636360113029985], [-0.04367486440172222, 0.2491806072365179, -0.0014243908491417883], [-0.009636360113029983, -0.0014243908491417883, 1.679088756659124]]",0.1058825047296119,False,vbgmm,6.075850963592529
12,3,0,3,298,"[0.7272000140885997, 3.279478262580015, 4.716575690351357]","[[0.024400578556341607, -0.08865356260825089, 0.01831833887068565], [-0.08865356260825089, 0.4473621598252658, -0.14315586257208662], [0.01831833887068565, -0.14315586257208662, 0.20849928904480775]]",0.12225779335888433,False,vbgmm,6.094401836395264
12,4,0,4,260,"[0.671355237602946, 4.231013866704043, 3.6156990008768504]","[[0.02711944414067504, -0.09307652264646017, 0.05933248415498612], [-0.09307652264646017, 0.33905727406625996, -0.24170012875314972], [0.05933248415498612, -0.24170012875314975, 1.2223909228117051]]",0.10936580146965806,False,vbgmm,5.952948331832886
12,5,0,5,239,"[0.7120597964752284, 3.47472340072073, 3.139971056288544]","[[0.021357999224710295, -0.09033624755046198, 0.06399360057294583], [-0.09033624755046198, 0.468454298556222, -0.35118969661753724], [0.06399360057294583, -0.3511896966175373, 0.9591239449413044]]",0.11190293807181674,False,vbgmm,5.086256504058838
12,6,0,6,545,"[0.6591784001890443, 3.863144867591263, 5.16544803753977]","[[0.0271008572965876, -0.07860157715835056, 0.035091664890044644], [-0.07860157715835056, 0.28567018808548333, -0.08942266602901533], [0.03509166489004465, -0.08942266602901534, 0.15016364228464718]]",0.19648480741544957,False,vbgmm,11.850661754608154
12,7,0,7,335,"[0.44706276717035953, 4.548010581679761, 3.730705256947685]","[[0.008494256127192248, -0.03315536762324212, 0.006474139788085137], [-0.03315536762324212, 0.2069043691058155, -0.08462648947451354], [0.0064741397880851365, -0.08462648947451352, 0.5181935590170667]]",0.13833186547266693,False,vbgmm,6.699798822402954
12,8,2,0,233,"[0.35724847605632476, 2.6576515832760044, 1.6533481858158636]","[[0.0013064386349669374, -0.00038320737183191497, -0.0027333908228168347], [-0.0003832073718319149, 0.10363791172819568, 0.022202255815125534], [-0.0027333908228168347, 0.022202255815125537, 0.5371738143421049]]",0.11022001708423601,False,vbgmm,4.98155665397644
12,9,2,1,680,"[0.41960305224882155, 1.6786984633304287, 3.3618906979157]","[[0.004639221058839494, 0.0071004961157250645, -0.006257118902034814], [0.0071004961157250645, 0.11725903732460849, 0.027805890747104395], [-0.006257118902034814, 0.027805890747104395, 0.5010738336085088]]",0.302050016234644,False,vbgmm,18.522572994232178
12,10,2,2,311,"[0.4347283745355928, 2.1004053944220065, -2.0169329588865645]","[[0.00476386937456562, -0.008167306169945291, 0.0011286244914857264], [-0.008167306169945291, 0.20785374336975285, -0.07472800128290005], [0.0011286244914857264, -0.07472800128290007, 1.4206598232574734]]",0.12202830510881378,False,vbgmm,5.818744421005249
12,11,2,3,145,"[0.6481429062990446, 1.4627314910380018, 3.285628166690106]","[[0.004479704434306624, -0.007268816354214455, -0.0011119479029605744], [-0.007268816354214455, 0.0705639361651164, -0.030189746130739707], [-0.0011119479029605746, -0.030189746130739707, 0.2750031530473106]]",0.06507830371759815,False,vbgmm,4.3703649044036865
12,12,2,4,253,"[0.36579092929421714, 2.5759682216956485, 3.216419037644569]","[[0.002214739263343512, -0.00285646323220397, -0.008281648162299664], [-0.0028564632322039705, 0.1398418265033863, -0.003180640582072648], [-0.008281648162299664, -0.0031806405820726485, 0.30327750980223817]]",0.11533103542971798,False,vbgmm,4.914564847946167
12,13,2,5,309,"[0.48195438019400366, 1.923119346373498, 1.5734142268555045]","[[0.0045728749598749644, 0.005807606360346206, 0.006511034770215735], [0.005807606360346206, 0.10956454706147577, 0.07420265934118456], [0.006511034770215735, 0.07420265934118456, 0.4036093242679766]]",0.13256633341859703,False,vbgmm,5.827134132385254
12,14,2,6,332,"[0.6644596175845573, 1.423693421187104, 1.3881734957150798]","[[0.002300294872703371, -0.0013698147422065543, -0.0024335597982643904], [-0.0013698147422065543, 0.06760081061059853, -0.06866904470971945], [-0.002433559798264391, -0.06866904470971945, 1.0621858289493107]]",0.15272598900639295,False,vbgmm,6.249767541885376
12,15,3,0,695,"[0.830471510110694, 5.400846244273945, 4.933370477921394]","[[0.01104393665433983, -0.0005010763443073146, 0.0218299550316318], [-0.0005010763443073147, 0.021079294584762907, -0.010686088547100504], [0.021829955031631803, -0.010686088547100504, 0.27103613759747786]]",0.1864445242671623,False,vbgmm,19.47662043571472
12,16,3,1,354,"[0.9429586985416251, 5.183914456647234, 4.245084619681542]","[[0.0018025903321162344, -0.001948952363531181, 0.008060732204571422], [-0.001948952363531181, 0.08042119227449232, 0.0016643295055267322], [0.008060732204571422, 0.0016643295055267322, 1.1564432678064387]]",0.1031355886751541,False,vbgmm,6.878067255020142
12,17,3,2,881,"[0.7492829328986264, 5.284062323886391, 5.7760286541928645]","[[0.020057016495034052, -0.017438892251497508, -0.0020263511183958157], [-0.017438892251497504, 0.047599578985738245, -0.0014481258800364092], [-0.002026351118395816, -0.0014481258800364092, 0.023355288287178925]]",0.22678500903754273,False,vbgmm,81.9884045124054
12,18,3,3,352,"[0.8747226131211667, 4.91959637273135, 4.834925990424243]","[[0.00589193783235403, -0.014176360260336791, 0.0295326624417856], [-0.014176360260336791, 0.05992257675129594, -0.07669755141109025], [0.029532662441785602, -0.07669755141109025, 0.46652711126121]]",0.09302786621451234,False,vbgmm,5.981526613235474
12,19,3,4,542,"[0.7186869989970907, 5.070785079103797, 5.39450428572129]","[[0.018712439409194186, -0.04619191943168759, 0.020810854952478978], [-0.04619191943168759, 0.12983349144683773, -0.07583009704848638], [0.020810854952478978, -0.07583009704848638, 0.14113372320373763]]",0.14428197240246987,False,vbgmm,10.853411197662354
12,20,3,5,385,"[0.7287305534786387, 5.622302332342629, 3.9814507221092432]","[[0.019174587432780825, -0.0007719155159130674, -0.017379848526896825], [-0.0007719155159130674, 0.004084073935658705, 0.001576607860843254], [-0.017379848526896825, 0.001576607860843254, 0.9155669268755454]]",0.0913809645668031,False,vbgmm,7.103649139404297
12,21,3,6,733,"[0.6879792581854048, 5.59389217675691, 5.444060225046219]","[[0.023105252626220575, -0.0019664921182006513, -0.017232925882099785], [-0.0019664921182006513, 0.005381713908235428, 0.0005297773432269623], [-0.017232925882099785, 0.0005297773432269624, 0.09065641540787649]]",0.1549440748363556,False,vbgmm,19.28235626220703
12,22,4,0,127,"[0.5108604312651785, 4.134037456098158, 5.871482713608013]","[[0.009777233627832092, -0.019248971799879, 0.001759569232600486], [-0.019248971799879, 0.09220955986447762, -0.0054308086442661505], [0.001759569232600486, -0.0054308086442661505, 0.007955617447997918]]",0.11609893450253068,False,vbgmm,3.953970432281494
12,23,4,1,160,"[0.7263287476842496, 3.29760869285888, 5.704499961060601]","[[0.020788839969308772, -0.06688939005044044, 0.014400588905253748], [-0.06688939005044044, 0.31238843450865716, -0.021575183617208192], [0.01440058890525375, -0.021575183617208192, 0.02878726338447764]]",0.14832535537357325,False,vbgmm,4.096709251403809
12,24,4,2,195,"[0.3846661371812524, 4.749196826906706, 5.8311351016612845]","[[0.00407532411387432, -0.011730849175996264, -0.0018488774381744566], [-0.011730849175996264, 0.06953852303998936, 0.006696574209177711], [-0.0018488774381744566, 0.006696574209177713, 0.012198547686137588]]",0.14555746981226128,False,vbgmm,4.596735239028931
12,25,4,3,201,"[0.5220604968410857, 3.7346890945525866, 5.564362834687157]","[[0.010275630019452777, -0.04140641584284376, 0.012617448779096888], [-0.041406415842843755, 0.26880957435025565, -0.05705108008005416], [0.012617448779096886, -0.05705108008005416, 0.03925234094315761]]",0.1638268243885179,False,vbgmm,4.513026475906372
12,26,4,4,237,"[0.34443708101197873, 4.877525294718191, 5.2964948105518825]","[[0.0014760681217949392, -0.005832325816349972, 0.003091848892765195], [-0.005832325816349973, 0.08039037530913676, 0.007506732364096952], [0.003091848892765195, 0.0075067323640969534, 0.08486529274079535]]",0.20356362134750514,False,vbgmm,4.716577768325806
