n,eta,sigma_y,width,height,x_01,x_02,x_03,x_04,x_05,x_06,x_07,x_08,split,gid,length_bin,sub_id
0.93520324,156.98370807,12.83073963,2.0,4.3,0.18387604,0.32499838,0.46919632,0.6035986,0.7284765,0.8452573,0.95390415,1.0551577,train,2,1,6
0.43816785,20.97002084,193.62007294,2.7,4.8,0.76381016,2.1508837,3.235149,3.7319074,3.8861938,3.9253745,3.9282298,3.9300447,train,2,2,10
0.6469088,106.91917913,137.39284536,2.1,4.9,0.2790041,0.5278444,0.7167325,0.87006855,0.99722624,1.10427,1.1957526,1.2753983,train,2,1,7
0.3695679,58.21787566,300.65250106,2.1,4.3,0.37628746,0.7655196,0.9215436,0.9396763,0.9509082,0.9604058,0.96879387,0.9761028,train,2,1,9
0.67671369,169.71623662,37.69994128,2.5,5.0,0.29003286,0.54861355,0.7683644,0.96276426,1.1338797,1.2853336,1.4202514,1.5408521,train,2,1,7
0.44834692,41.56472649,273.53414947,2.2,4.5,0.45236874,1.0500712,1.3803406,1.4374466,1.4435525,1.4499865,1.4560652,1.4616446,train,2,1,5
0.61433363,223.00510456,328.41561621,2.8,4.6,0.19871426,0.2598138,0.3341713,0.397974,0.4465289,0.4965868,0.5397334,0.5829406,train,2,0,4
0.96150747,184.98119559,295.10225629,2.4,4.2,0.15747309,0.1912818,0.25995302,0.31704617,0.3699851,0.4208784,0.46840668,0.51274014,train,2,0,0
0.78287244,222.28284755,326.84569211,2.11296176,4.06812407,0.14431143,0.20954776,0.28558278,0.36193919,0.43201661,0.49960589,0.56374431,0.62554026,train,2,0,4
0.59811604,9.26680374,396.31253052,2.65974426,4.41622734,0.6322298,1.94649458,3.14136219,3.85206699,3.93679953,3.94162798,3.94285583,3.94536829,train,2,2,12
0.30929452,17.97237015,20.38946915,2.77061486,4.51076508,1.23105288,3.97825146,7.0369463,9.68846893,11.17245197,11.65422344,11.66871166,11.67064381,train,2,3,15
0.84885063,283.86847376,81.36006333,2.4,5.0,0.17265987,0.23345709,0.326169,0.41362286,0.49108362,0.5690999,0.64457655,0.7158475,train,2,1,8
0.30956001,94.40126155,259.64075141,2.83361742,4.07018259,0.59567761,1.72649598,2.66693902,3.12677169,3.18284583,3.18831849,3.19505572,3.20214581,train,2,2,10
0.5768605640291171,139.35677538621576,326.4605843961782,2.4,4.5,0.3031706809997558,0.6155791282653809,0.853797197341919,1.0476384162902832,1.2079050540924072,1.343249797821045,1.4598543643951416,1.5610735416412354,train,2,1,7
0.95277266,63.65543002,205.37474959,2.7,4.2,0.32572842,0.63129044,0.8800478,1.0885186,1.2632508,1.4109392,1.5370202,1.6454015,train,2,1,7
0.97772372,181.2116394,6.56773567,2.0201025,4.38833904,0.18710589,0.3328836,0.485677,0.63806295,0.78358531,0.92342782,1.05680156,1.18401814,train,2,1,6
0.3367195,165.47890355,194.48432091,2.6,4.9,0.38855076,0.79633045,1.0389895,1.1628938,1.2478094,1.3167849,1.3752785,1.4249206,train,2,1,9
0.62287937,184.6090058,197.41722712,2.8,4.2,0.2629304,0.4305787,0.5742583,0.7007437,0.8120041,0.912838,1.0035124,1.0859017,train,2,1,6
0.91322303,15.4347086,108.71828461,2.98330164,4.92875862,0.76338816,2.30614519,3.62071943,4.39561224,4.77986717,4.98760653,5.12072849,5.2237196,train,2,2,12
0.30668584,149.77231754,33.61432183,2.2,4.9,0.50485945,1.2301359,1.6872754,1.8935051,2.0119443,2.1049805,2.1809587,2.2497654,train,2,1,5
0.59294158,154.81465228,172.80599673,2.2,4.7,0.23364115,0.39372444,0.52235556,0.63000965,0.7261996,0.8113594,0.8870735,0.9554944,train,2,1,6
0.34082446,104.58472187,324.61930426,2.7,4.6,0.4102764,0.8558898,1.0979171,1.1686249,1.2028265,1.2318153,1.2578278,1.280107,train,2,1,9
0.8459793,208.68948009,83.63391322,2.6,4.3,0.20268106,0.32929707,0.46778154,0.5918174,0.7069421,0.81585217,0.918025,1.0140991,train,2,1,6
0.45252573,235.18542093,47.41969847,2.56164866,4.9024875,0.39436007,0.92431545,1.35626078,1.67442155,1.9178021,2.11266017,2.27531648,2.41374612,train,2,1,7
0.91298413,277.5784311,148.25354704,2.0,4.8,0.11186457,0.15437174,0.21007633,0.26735783,0.3156042,0.36126232,0.40953302,0.45479727,train,2,0,4
0.70377437,270.97149144,150.9606124,2.0,5.0,0.1263609,0.1732812,0.23340416,0.28894567,0.33789682,0.3847866,0.43117523,0.47456074,train,2,0,4
0.89022648,213.00141907,356.90264893,2.44173598,4.45662785,0.16972184,0.24141431,0.33138824,0.41841578,0.49775934,0.57534051,0.65059209,0.72247577,train,2,1,8
0.30278641,202.44487465,354.10315245,2.94106703,4.64122895,0.40148687,0.91698027,1.29278564,1.5022397,1.61414385,1.69490528,1.76236057,1.81932116,train,2,1,5
0.95064202,185.49522091,163.33354641,2.7,4.1,0.19577312,0.3001089,0.42509842,0.5362487,0.63818073,0.7354584,0.8277483,0.9143915,train,2,1,6
0.94205261,77.81948359,237.48015398,2.7,4.1,0.28511286,0.51531124,0.70975447,0.8772702,1.0228658,1.1497874,1.2600946,1.357924,train,2,1,6
0.81110282,175.0827729,258.66399435,2.7,4.1,0.20141125,0.29503822,0.4027171,0.4943099,0.5767064,0.6544881,0.72712135,0.79436684,train,2,1,8
0.54446821,147.44276785,334.6749399,2.0,4.1,0.16085482,0.19500542,0.23529339,0.2685337,0.29391098,0.31630754,0.33698845,0.35651064,train,2,0,2
0.6189865,202.46143994,117.82755121,2.2,4.5,0.20256615,0.32828093,0.4477334,0.5500307,0.6441002,0.73058224,0.8098135,0.883481,train,2,1,6
0.73431511,178.04482898,157.71146728,2.8,4.9,0.25466108,0.42457056,0.58201885,0.72380066,0.85101414,0.96787596,1.0741463,1.1720953,train,2,1,6
0.80007126,150.18064143,230.54314439,2.61262538,4.8425266,0.27421951,0.49860716,0.71058559,0.90572834,1.0851872,1.24963331,1.39906287,1.53587985,train,2,1,6
0.50342291,48.67172945,163.71727541,2.2,4.7,0.5219178,1.2879553,1.7670126,1.9656544,2.057806,2.1205802,2.1691022,2.2115278,train,2,1,5
0.42402719,145.18875746,248.50640142,2.9,4.8,0.39140368,0.77499247,1.0183892,1.1657944,1.270422,1.3550959,1.426024,1.4877777,train,2,1,9
0.55502551,85.55054037,159.23443042,2.8,4.3,0.478395,1.1042161,1.5514035,1.8064542,1.9708033,2.0913944,2.1891055,2.2738285,train,2,1,5
0.89271911,93.1349554,264.92497157,2.8,4.4,0.27306747,0.47080612,0.6388664,0.786602,0.91524744,1.028893,1.1294231,1.2192383,train,2,1,6
0.74057431,40.60619895,160.63216684,2.3,4.9,0.44563484,1.0269895,1.4300227,1.6680388,1.8240366,1.9362531,2.0312042,2.1103544,train,2,1,5
0.35376407,174.17294841,278.54385029,2.49119728,4.6938791,0.39739132,0.99012589,1.45825934,1.72936821,1.87668705,1.97574282,2.05603218,2.12445116,train,2,1,5
0.55903268,202.6958313,320.62203979,2.92402387,4.57517338,0.29854107,0.52173805,0.6957252,0.85234547,0.99185228,1.11672258,1.22878933,1.32964993,train,2,1,6
0.30036353,168.67719695,40.14076777,2.45308461,4.79966178,0.62032366,1.94003439,3.10767508,3.76732445,3.97305965,4.03678656,4.08821821,4.13561153,train,2,2,12
0.49307024,182.42081972,348.15655908,2.4,4.0,0.19216537,0.24233961,0.29692173,0.3329544,0.36512995,0.39667988,0.4238634,0.44887924,train,2,0,2
0.3083037622420966,12.950881625355466,49.22374773230911,2.5,4.0,1.1138792037963867,3.6907644271850586,6.55803108215332,8.936616897583008,10.19028663635254,10.402570724487305,10.40285301208496,10.402856826782228,train,2,3,15
0.37591983,22.23499324,42.14622617,2.73561919,4.40554274,1.10928965,3.56744361,6.15246105,8.13180542,9.11258316,9.29120731,9.30179501,9.30634212,train,2,2,13
