gid,N,n_bins,n_subs,fit_seconds
0,17629,5,25,2.330402374267578
1,15384,5,24,0.39170145988464355
2,17053,4,19,0.43973755836486816
3,15080,3,15,0.32883334159851074
4,13696,5,24,0.5031652450561523
5,19266,5,25,0.5425927639007568
6,17717,5,24,0.46560239791870117
7,16459,3,15,0.2733595371246338
8,14850,3,15,0.32057642936706543
9,15045,4,19,0.38980698585510254
10,15498,5,24,0.48635005950927734
11,17044,5,24,0.44179773330688477
12,21416,5,25,0.5141410827636719
13,14636,3,15,0.34171271324157715
14,13715,4,16,0.3131740093231201
15,19161,5,25,0.45445775985717773
16,17272,4,16,0.26067519187927246
17,19052,5,25,0.4197819232940674
18,15815,5,25,0.4049375057220459
19,15073,5,24,0.540930986404419
20,17889,5,24,0.4137890338897705
21,18126,5,25,0.5281403064727783
22,16388,5,25,0.4262828826904297
23,14749,3,15,0.33484673500061035
24,17549,3,15,0.30013418197631836
