n,eta,sigma_y,width,height,x_01,x_02,x_03,x_04,x_05,x_06,x_07,x_08,sub_id
0.50467605,16.37779058,90.67028185,2.2,2.4,0.79785776,2.226073,3.1917593,3.5625813,3.6695197,3.692282,3.7024462,3.7120569,23
0.9502818482574006,51.91323089508837,0.0088115772581635,2.554382795266908,2.106378315522679,0.350477933883667,0.7364010810852051,1.0505998134613037,1.3039696216583252,1.5097832679748535,1.6825518608093262,1.830427646636963,1.9596304893493648,8
0.72169572,275.85583056,166.71353972,2.95155193,2.88094551,0.17296243,0.25519848,0.34386611,0.4315176,0.51005006,0.5846262,0.6553688,0.72269988,17
0.32509175,17.22994232,80.25426483,2.68825221,2.00585985,0.86017203,2.42708755,3.54488635,3.97581363,4.097188,4.12761497,4.12869549,4.12993336,23
0.47831945,52.93474421,292.01178126,2.1,2.6,0.3462968,0.6697006,0.8120768,0.8556547,0.8852279,0.9086187,0.9277065,0.94339013,21
0.76341446,4.90469429,74.9458132,2.22409266,2.04252936,0.82934594,2.26017189,3.1658721,3.52857351,3.67698526,3.72697449,3.73923826,3.74698257,23
0.7171881046416785,4.72094852866751,0.243721414347032,2.5362119083372505,2.225148230490907,1.0545692443847656,3.0605201721191406,4.536991119384766,5.283285617828369,5.6765899658203125,5.968241691589356,6.186049461364746,6.347891807556152,5
0.95403624,101.43019104,288.10766602,2.36034131,2.5232358,0.17087007,0.26986694,0.36713243,0.45506859,0.53427458,0.60664368,0.67285442,0.73377323,17
0.90567695,173.68440838,356.91616051,2.2,2.3,0.09349418,0.13178778,0.16468191,0.1890428,0.21647239,0.2432065,0.26947093,0.29322076,11
0.76119721,46.70535934,160.52322902,2.36493569,2.46384712,0.40567732,0.89007592,1.22075605,1.43019724,1.57930064,1.6947155,1.78404474,1.8558836,20
0.92488521,159.01571655,393.75469971,2.12092137,2.11150861,0.07971382,0.10972452,0.1328578,0.14417267,0.16310859,0.18027425,0.19552064,0.20995307,11
0.51100953,253.92800277,84.0038466,2.5,2.4,0.20821023,0.3359506,0.45440412,0.55901694,0.652987,0.7383895,0.8164623,0.88857746,16
0.60922491,166.87811365,219.98617229,2.6,2.2,0.20021963,0.31658983,0.4233961,0.51564336,0.5979445,0.6724181,0.73980975,0.80131173,17
0.97333294,147.08909607,37.20113754,2.00509429,2.97933793,0.18294048,0.33237457,0.4770875,0.61536026,0.74554205,0.86765981,0.98251319,1.08993292,15
0.53401903,182.15665694,294.33821384,2.6,2.6,0.19879627,0.2817936,0.35651302,0.4210403,0.47900772,0.5313616,0.5788889,0.6230426,4
0.41873363,298.17987728,357.37814047,2.3,2.8,0.11211514,0.13346219,0.15291834,0.15766811,0.16949987,0.18135548,0.18629527,0.19421029,11
0.6195941,56.54558945,157.09611511,2.00600648,2.01568031,0.35665941,0.73877048,0.97307658,1.11116004,1.20516706,1.27691197,1.33432436,1.37937331,10
0.82613581,285.22744751,383.0760498,2.29716372,2.52454281,0.082901,0.1152339,0.14017391,0.15494895,0.17638183,0.19793177,0.21641612,0.23453546,11
0.40536238,139.97069833,232.604455,2.8,2.9,0.3698175,0.73982835,0.965127,1.0953646,1.1873994,1.2609062,1.3210597,1.3730698,10
0.4734540759711656,1.5079962104062574,2.443615377551028,2.66443586,2.41581941,1.235468864440918,4.055154800415039,7.192174434661865,9.780187606811523,11.281593322753906,11.378040313720703,11.38446807861328,11.389947891235352,14
0.84968881,62.62621352,139.07619246,2.1,2.9,0.28947926,0.5628264,0.7792561,0.95501375,1.0986419,1.21839,1.3177047,1.4033642,10
0.49955562,144.75096673,49.57144138,2.51714265,2.88283551,0.4195385,0.93470621,1.29303741,1.52827692,1.6996541,1.83926296,1.95394993,2.05008745,19
0.59985479,255.56423826,394.19710817,2.67882576,2.93282351,0.14341736,0.16945481,0.20307732,0.2430861,0.27355313,0.30286384,0.33038378,0.35669351,4
0.9613461448261597,2.157528382416473,0.008921224750182,2.542156786482792,2.376582833726818,1.0657398700714111,3.053338050842285,4.464073657989502,5.205218315124512,5.649733543395996,6.002060890197754,6.271103858947754,6.4746294021606445,5
0.69727262,132.4731653,87.22916564,2.8,2.6,0.30420423,0.5792892,0.80753016,1.0026402,1.1688421,1.3124523,1.4375956,1.5480497,10
0.77953149938357,95.32688603538637,0.0731015944588579,2.964498922587706,2.400523832395007,0.3552286624908447,0.7377135753631592,1.0477700233459473,1.2993345260620115,1.505199909210205,1.6786255836486816,1.8272485733032229,1.9573917388916016,8
0.3264672966608574,184.23247987790177,390.8642669437151,2.2,2.1,0.137967824935913,0.1473028659820556,0.1572163105010986,0.1619865894317627,0.1692824363708496,0.175483226776123,0.1815686225891113,0.1870300769805908,11
0.8057533389906414,44.66739750550029,0.1635200941414323,2.3014866264629608,2.0372120477357747,0.4422693252563476,0.9959337711334229,1.3830466270446775,1.6505296230316162,1.8517582416534424,2.015109300613404,2.1507556438446045,2.26882004737854,18
0.90503016,274.58063342,348.68193708,2.02524518,2.8285806,0.08026791,0.12439466,0.15674543,0.1854198,0.21701384,0.24852371,0.27827454,0.30685306,11
0.8478296247630328,5.177082071530567,0.0862849213724094,2.6559259662639545,2.893904474484651,1.0524849891662598,3.110162734985352,4.671731948852539,5.481675624847412,5.899240970611572,6.195929050445557,6.417904376983643,6.5876545906066895,5
0.3055580933879533,229.31812714599724,0.0289196911703735,2.436029446189695,2.8154612860995782,0.445878267288208,1.0649776458740234,1.4649004936218262,1.6690263748168943,1.8011560440063477,1.9051289558410645,1.995195388793945,2.072804927825928,18
0.5559047057550347,2.424120343909344,0.0030650109557346,2.73994538879135,2.1012142442092,1.164459466934204,3.6574904918670654,6.0702972412109375,7.698953628540039,8.398054122924805,8.577006340026855,8.663036346435547,8.775373458862305,12
0.82970351,19.92868996,172.20928955,2.0574379,2.95850015,0.54851818,1.44683361,2.02486682,2.28787732,2.41263604,2.49473739,2.55802655,2.60848165,0
0.82298955,36.85016913,361.36593468,2.3,2.6,0.27097774,0.4591937,0.5693302,0.6462734,0.7024336,0.7446768,0.77728677,0.8027308,21
