mode,material,setup_A,setup_B,theta_n,theta_eta,theta_sy,objective,opt_s,sub_ids,basins,y8_A,y8_B,raw_wrms_total,sy_anchor,sy_single_a,sy_single_b,selector_mode
double,Carbonara,ref_Carbonara_3.7_6.4_1,ref_Carbonara_2.0_2.5_2,0.9215647847904366,76.02321880710623,115.31566762765829,0.05811239842677969,13.246989011764526,"[12, 13]","[2, 2]",2.361417126046489,1.5927745557836417,0.7057296680591422,221.3748473203109,399.9800606281327,122.52316515260833,shape
double,Cobb,ref_Cobb_4.7_5.5_1,ref_Cobb_2.0_2.9_2,0.5120668034921037,54.09688101879469,11.015304826888508,0.0005473514160079662,9.951594114303589,"[18, 15]","[3, 3]",7.0008033178682645,2.9797676131682564,0.026522970739541372,11.014299639554485,15.942397731256593,7.609570316517749,shape
double,Congee,ref_Congee_5.7_6.4_1,ref_Congee_2.0_2.1_2,0.6421926730332421,146.17114940371914,392.03693774223825,0.00376814135703009,13.20215392112732,"[7, 0]","[1, 0]",2.879444095707859,0.2181035579314195,0.143446860082647,244.61496544326047,150.89751502430005,396.5372213662471,shape
double,Island,ref_Island_3.6_3.3_1,ref_Island_2.0_2.9_2,0.5141752196315607,58.17522187866835,81.71193998853413,0.0017349019311763438,13.382065057754517,"[19, 12]","[3, 2]",4.249821644451646,1.9808669929554386,0.11684864759502235,81.65963430592183,155.56203479420938,42.86583088089761,shape
double,JapaneseCabbagePancakeSauce,ref_JapaneseCabbagePancakeSauce_3.8_4.2_1,ref_JapaneseCabbagePancakeSauce_2.0_2.9_2,0.5693863317443966,52.19244017835445,101.0201971774615,0.010694339125161786,10.36366319656372,"[13, 14]","[2, 3]",4.550763584273427,2.1338107476760895,0.31856155976513467,101.29134048579006,57.331805562878834,178.95713481682773,shape
double,JapaneseThickenedWorcestershireSauce,ref_JapaneseThickenedWorcestershireSauce_4.0_2.1_1,ref_JapaneseThickenedWorcestershireSauce_2.0_3.0_2,0.5906774465504094,11.972205239893178,17.376510649057543,0.0002961242451662835,13.266659259796143,"[13, 18]","[2, 3]",7.0713166534706895,4.712675978004505,0.02173548442428082,17.376429434168397,5.000005509700982,60.38799343216942,shape
double,Lotion,ref_Lotion_2.5_5.1_1,ref_Lotion_7.0_7.0_2,0.3707157165294348,124.68860725288003,26.990405183172307,0.002473528408909349,13.319047451019287,"[12, 14]","[2, 2]",2.8847553602160203,8.499428224303685,0.052555684134533834,27.08865794139873,144.10718746576453,5.092011036857076,shape
double,MoisturizingMilk,ref_MoisturizingMilk_5.9_2.9_1,ref_MoisturizingMilk_2.0_3.2_2,0.748669548139201,33.96645112845897,62.45906144572276,0.0020042994957810696,13.123912811279297,"[11, 13]","[2, 2]",5.724963565456348,2.0891590917759086,0.06950227822648634,62.504137133670206,63.46509250412032,61.55773204885834,shape
double,Mustard,ref_Mustard_6.6_3.3_1,ref_Mustard_2.0_2.3_2,0.42010010920712737,190.7698273484533,224.15074085068926,0.019620719145230184,13.277442455291748,"[8, 6]","[1, 1]",3.679319623926082,0.6178303072832458,0.19156652512471603,223.2003137768307,144.47983773151824,344.81198797199215,shape
double,Pomodoro,ref_Pomodoro_2.1_3.2_1,ref_Pomodoro_7.0_7.0_2,0.3000183855385821,109.79208681957908,54.49202958110951,0.10613669476805215,16.518028259277344,"[14, 14]","[2, 2]",1.7063892752650967,9.243787332884745,0.20826593449155417,26.415831393056603,134.39679885852865,5.192059290942801,shape
double,Sesame,ref_Sesame_4.2_4.0_1,ref_Sesame_2.0_2.9_2,0.9999721403011054,4.484400809131428,17.777599259243832,0.007920588591770543,9.96864652633667,"[16, 18]","[3, 3]",7.046840357077391,4.784753079123746,0.24487541579556404,17.778685966199202,34.01950101268512,9.291190795740025,shape
double,SweetBeanPaste,ref_SweetBeanPaste_4.1_4.8_1,ref_SweetBeanPaste_2.0_2.1_2,0.9954805974672785,84.62333148678063,201.64908291714434,0.01146905533191626,13.287755250930786,"[8, 8]","[1, 1]",1.9050537079364536,0.4364024013332541,0.34146295720465747,290.80269461871166,396.28014249668854,213.40006255350107,shape
