mode,material,setup_A,setup_B,theta_n,theta_eta,theta_sy,objective,opt_s,sub_ids,basins,y8_A,y8_B,raw_wrms_total,sy_anchor,sy_single_a,sy_single_b,selector_mode,truth_source,truth_confidence,truth_n,truth_eta,truth_sy,paper_name,rheo_csv,notes,fc_pct_vs_assigned_truth
double,Carbonara,ref_Carbonara_3.7_6.4_1,ref_Carbonara_2.0_2.5_2,0.9215647847904366,76.02321880710623,115.31566762765829,0.0581123984267796,13.246989011764526,"[12, 13]","[2, 2]",2.361417126046489,1.5927745557836417,0.7057296680591422,221.3748473203109,399.9800606281327,122.52316515260831,shape,hamamichi_table1,fallback,1.0,72.9,15.2,Carbonara sauce,,No matching local rheometer CSV assigned; using Hamamichi Table 1 as temporary truth.,323.6389144125287
double,Cobb,ref_Cobb_4.7_5.5_1,ref_Cobb_2.0_2.9_2,0.5120668034921037,54.09688101879469,11.015304826888508,0.0005473514160079,9.951594114303589,"[18, 15]","[3, 3]",7.0008033178682645,2.9797676131682564,0.0265229707395413,11.014299639554483,15.942397731256593,7.609570316517749,shape,hamamichi_table1,fallback,0.87,10.8,56.7,Cobb salad dressing,,No matching local rheometer CSV assigned; using Hamamichi Table 1 as temporary truth.,40.40854783230709
double,Congee,ref_Congee_5.7_6.4_1,ref_Congee_2.0_2.1_2,0.6421926730332421,146.17114940371914,392.0369377422383,0.00376814135703,13.20215392112732,"[7, 0]","[1, 0]",2.879444095707859,0.2181035579314195,0.143446860082647,244.61496544326047,150.89751502430005,396.5372213662471,shape,hamamichi_table1,fallback,0.5,181.70000000000002,229.0,Congee,,No matching local rheometer CSV assigned; using Hamamichi Table 1 as temporary truth.,42.688444760214196
double,Island,ref_Island_3.6_3.3_1,ref_Island_2.0_2.9_2,0.5141752196315607,58.17522187866835,81.71193998853413,0.0017349019311763,13.382065057754517,"[19, 12]","[3, 2]",4.249821644451646,1.9808669929554383,0.1168486475950223,81.65963430592183,155.56203479420938,42.86583088089761,shape,hamamichi_table1,fallback,0.82,14.9,134.8,Thousand island dressing,,No matching local rheometer CSV assigned; using Hamamichi Table 1 as temporary truth.,20.364528827429616
double,JapaneseCabbagePancakeSauce,ref_JapaneseCabbagePancakeSauce_3.8_4.2_1,ref_JapaneseCabbagePancakeSauce_2.0_2.9_2,0.5693863317443966,52.19244017835445,101.0201971774615,0.0106943391251617,10.36366319656372,"[13, 14]","[2, 3]",4.550763584273427,2.133810747676089,0.3185615597651346,101.29134048579006,57.331805562878834,178.95713481682773,shape,rheometer_csv_fit,high,0.5015947083729511,61.080180787477836,72.74461800342141,Japanese cabbage pancake sauce (Okonomi sauce),C:\Users\xiong\Documents\GitHub\Fast-Non-Newtonian-ViRheometry-via-Mixture-of-GP-Surrogates\FlowCurve\Rheo_Data\Okonomiyaki_2023_0114_1627_23C.csv,Paper synonym: Okonomi sauce.,20.19063792992948
double,JapaneseThickenedWorcestershireSauce,ref_JapaneseThickenedWorcestershireSauce_4.0_2.1_1,ref_JapaneseThickenedWorcestershireSauce_2.0_3.0_2,0.5906774465504094,11.972205239893178,17.376510649057543,0.0002961242451662,13.266659259796144,"[13, 18]","[2, 3]",7.0713166534706895,4.712675978004505,0.0217354844242808,17.376429434168397,5.000005509700982,60.38799343216942,shape,rheometer_csv_fit,high,0.6327719971779329,10.506457409194915,19.617887478091735,Japanese thickened Worcestershire sauce (Chuno sauce),C:\Users\xiong\Documents\GitHub\Fast-Non-Newtonian-ViRheometry-via-Mixture-of-GP-Surrogates\FlowCurve\Rheo_Data\Chuno_20230114_1458_23C.csv,Paper synonym: Chuno sauce.,5.610453099860191
double,Lotion,ref_Lotion_2.5_5.1_1,ref_Lotion_7.0_7.0_2,0.3707157165294348,124.68860725288005,26.990405183172307,0.0024735284089093,13.319047451019289,"[12, 14]","[2, 2]",2.8847553602160203,8.499428224303685,0.0525556841345338,27.08865794139873,144.10718746576453,5.092011036857076,shape,rheometer_csv_fit,high,0.534155738054341,52.799360165182456,69.94770049332519,Lotion,C:\Users\xiong\Documents\GitHub\Fast-Non-Newtonian-ViRheometry-via-Mixture-of-GP-Surrogates\FlowCurve\Rheo_Data\Lotion_20230114_1204_23C.csv,Exact local family match.,21.399246810706956
double,MoisturizingMilk,ref_MoisturizingMilk_5.9_2.9_1,ref_MoisturizingMilk_2.0_3.2_2,0.748669548139201,33.96645112845897,62.45906144572276,0.002004299495781,13.123912811279297,"[11, 13]","[2, 2]",5.724963565456348,2.0891590917759086,0.0695022782264863,62.504137133670206,63.46509250412032,61.55773204885834,shape,rheometer_csv_fit,high,0.4390286580129321,61.98314447614969,94.53284442670032,Moisturizing milk,C:\Users\xiong\Documents\GitHub\Fast-Non-Newtonian-ViRheometry-via-Mixture-of-GP-Surrogates\FlowCurve\Rheo_Data\Nyueki_20230114_1259_23C.csv,Nyueki is the local Japanese label for moisturizing milk/emulsion.,41.593788491924336
double,Mustard,ref_Mustard_6.6_3.3_1,ref_Mustard_2.0_2.3_2,0.4201001092071273,190.7698273484533,224.1507408506893,0.0196207191452301,13.277442455291748,"[8, 6]","[1, 1]",3.679319623926082,0.6178303072832458,0.191566525124716,223.2003137768307,144.47983773151824,344.8119879719921,shape,hamamichi_table1,fallback,0.85,49.400000000000006,276.5,Mustard,,No matching local rheometer CSV assigned; using Hamamichi Table 1 as temporary truth.,20.42210231041185
double,Pomodoro,ref_Pomodoro_2.1_3.2_1,ref_Pomodoro_7.0_7.0_2,0.3000183855385821,109.79208681957908,54.49202958110951,0.1061366947680521,16.518028259277344,"[14, 14]","[2, 2]",1.7063892752650969,9.243787332884745,0.2082659344915541,26.415831393056603,134.39679885852863,5.192059290942801,shape,hamamichi_table1,fallback,0.46,42.800000000000004,169.8,Pomodoro sauce,,No matching local rheometer CSV assigned; using Hamamichi Table 1 as temporary truth.,29.99453826328709
double,Sesame,ref_Sesame_4.2_4.0_1,ref_Sesame_2.0_2.9_2,0.9999721403011054,4.484400809131428,17.777599259243832,0.0079205885917705,9.96864652633667,"[16, 18]","[3, 3]",7.046840357077391,4.784753079123746,0.244875415795564,17.778685966199202,34.01950101268512,9.291190795740023,shape,hamamichi_table1,fallback,1.0,4.9,19.3,Sesame dressing,,No matching local rheometer CSV assigned; using Hamamichi Table 1 as temporary truth.,8.105558488016376
double,SweetBeanPaste,ref_SweetBeanPaste_4.1_4.8_1,ref_SweetBeanPaste_2.0_2.1_2,0.9954805974672783,84.62333148678063,201.64908291714437,0.0114690553319162,13.287755250930786,"[8, 8]","[1, 1]",1.9050537079364536,0.4364024013332541,0.3414629572046574,290.80269461871166,396.2801424966885,213.40006255350107,shape,hamamichi_table1,fallback,0.75,108.5,334.6,Sweet bean paste,,No matching local rheometer CSV assigned; using Hamamichi Table 1 as temporary truth.,47.92188519765336
