material,paper_name,paper_setup1_W,paper_setup1_H,paper_setup2_W,paper_setup2_H,hamamichi_table_eta_phys,hamamichi_table_n,hamamichi_table_sigma_y_phys,hamamichi_table_eta_internal,hamamichi_table_sigma_y_internal,truth_source,truth_confidence,truth_n,truth_eta,truth_sy,rheo_csv,rheo_eta_phys,rheo_n,rheo_sigma_y_phys,rheo_header_row,fc_rheo_vs_hamamichi_pct,notes
Carbonara,Carbonara sauce,6.4,3.7,2.5,2.0,7.29,1.0,1.52,72.9,15.2,hamamichi_table1,fallback,1.0,72.9,15.2,,,,,,,No matching local rheometer CSV assigned; using Hamamichi Table 1 as temporary truth.
Cobb,Cobb salad dressing,5.5,4.7,2.9,2.0,1.08,0.87,5.67,10.8,56.7,hamamichi_table1,fallback,0.87,10.8,56.7,,,,,,,No matching local rheometer CSV assigned; using Hamamichi Table 1 as temporary truth.
Congee,Congee,6.4,5.7,2.1,2.0,18.17,0.5,22.9,181.70000000000002,229.0,hamamichi_table1,fallback,0.5,181.70000000000002,229.0,,,,,,,No matching local rheometer CSV assigned; using Hamamichi Table 1 as temporary truth.
Island,Thousand island dressing,3.3,3.6,2.9,2.0,1.49,0.82,13.48,14.9,134.8,hamamichi_table1,fallback,0.82,14.9,134.8,,,,,,,No matching local rheometer CSV assigned; using Hamamichi Table 1 as temporary truth.
JapaneseCabbagePancakeSauce,Japanese cabbage pancake sauce (Okonomi sauce),4.2,3.8,2.9,2.0,2.62,0.76,11.58,26.200000000000003,115.8,rheometer_csv_fit,high,0.5015947083729511,61.080180787477836,72.74461800342141,C:\Users\xiong\Documents\GitHub\Fast-Non-Newtonian-ViRheometry-via-Mixture-of-GP-Surrogates\FlowCurve\Rheo_Data\Okonomiyaki_2023_0114_1627_23C.csv,6.108018078747784,0.5015947083729511,7.2744618003421415,5.0,25.519890011582874,Paper synonym: Okonomi sauce.
JapanesePorkCutletSauce,Japanese pork cutlet sauce (Tonkatsu sauce),6.0,5.8,3.2,2.0,4.02,0.55,1.6,40.199999999999996,16.0,rheometer_csv_fit,high,0.5297235963691781,33.28375915873578,40.56531587449808,C:\Users\xiong\Documents\GitHub\Fast-Non-Newtonian-ViRheometry-via-Mixture-of-GP-Surrogates\FlowCurve\Rheo_Data\tonkatsu_20230113_2000_23C.csv,3.3283759158735786,0.5297235963691781,4.0565315874498085,5.0,33.402449636715964,Paper synonym: Tonkatsu sauce.
JapaneseThickenedWorcestershireSauce,Japanese thickened Worcestershire sauce (Chuno sauce),2.1,4.0,3.0,2.0,0.55,0.81,1.95,5.5,19.5,rheometer_csv_fit,high,0.6327719971779329,10.506457409194915,19.617887478091735,C:\Users\xiong\Documents\GitHub\Fast-Non-Newtonian-ViRheometry-via-Mixture-of-GP-Surrogates\FlowCurve\Rheo_Data\Chuno_20230114_1458_23C.csv,1.0506457409194916,0.6327719971779329,1.9617887478091733,5.0,12.253713510529463,Paper synonym: Chuno sauce.
Lotion,Lotion,5.1,2.5,7.0,7.0,9.76,0.42,1.46,97.6,14.6,rheometer_csv_fit,high,0.534155738054341,52.799360165182456,69.94770049332519,C:\Users\xiong\Documents\GitHub\Fast-Non-Newtonian-ViRheometry-via-Mixture-of-GP-Surrogates\FlowCurve\Rheo_Data\Lotion_20230114_1204_23C.csv,5.279936016518246,0.534155738054341,6.9947700493325184,5.0,29.6339061295183,Exact local family match.
MoisturizingMilk,Moisturizing milk,2.9,5.9,3.2,2.0,1.27,0.87,14.75,12.7,147.5,rheometer_csv_fit,high,0.4390286580129321,61.98314447614969,94.53284442670032,C:\Users\xiong\Documents\GitHub\Fast-Non-Newtonian-ViRheometry-via-Mixture-of-GP-Surrogates\FlowCurve\Rheo_Data\Nyueki_20230114_1259_23C.csv,6.198314447614969,0.4390286580129321,9.453284442670032,5.0,23.786094013061227,Nyueki is the local Japanese label for moisturizing milk/emulsion.
Mustard,Mustard,3.3,6.6,2.3,2.0,4.94,0.85,27.65,49.400000000000006,276.5,hamamichi_table1,fallback,0.85,49.400000000000006,276.5,,,,,,,No matching local rheometer CSV assigned; using Hamamichi Table 1 as temporary truth.
Pomodoro,Pomodoro sauce,3.2,2.1,7.0,7.0,4.28,0.46,16.98,42.800000000000004,169.8,hamamichi_table1,fallback,0.46,42.800000000000004,169.8,,,,,,,No matching local rheometer CSV assigned; using Hamamichi Table 1 as temporary truth.
Sesame,Sesame dressing,4.0,4.2,2.9,2.0,0.49,1.0,1.93,4.9,19.3,hamamichi_table1,fallback,1.0,4.9,19.3,,,,,,,No matching local rheometer CSV assigned; using Hamamichi Table 1 as temporary truth.
SweetBeanPaste,Sweet bean paste,4.8,4.1,2.1,2.0,10.85,0.75,33.46,108.5,334.6,hamamichi_table1,fallback,0.75,108.5,334.6,,,,,,,No matching local rheometer CSV assigned; using Hamamichi Table 1 as temporary truth.
